Marks,State,City,Center Code
327,HARYANA,FARIDABAD,230102
276,HARYANA,FARIDABAD,230102
399,HARYANA,FARIDABAD,230102
93,HARYANA,FARIDABAD,230102
91,HARYANA,FARIDABAD,230102
57,HARYANA,FARIDABAD,230102
312,HARYANA,FARIDABAD,230102
568,HARYANA,FARIDABAD,230102
116,HARYANA,FARIDABAD,230102
46,HARYANA,FARIDABAD,230102
430,HARYANA,FARIDABAD,230102
680,HARYANA,FARIDABAD,230102
389,HARYANA,FARIDABAD,230102
405,HARYANA,FARIDABAD,230102
26,HARYANA,FARIDABAD,230102
619,HARYANA,FARIDABAD,230102
272,HARYANA,FARIDABAD,230102
74,HARYANA,FARIDABAD,230102
343,HARYANA,FARIDABAD,230102
130,HARYANA,FARIDABAD,230102
312,HARYANA,FARIDABAD,230102
238,HARYANA,FARIDABAD,230102
258,HARYANA,FARIDABAD,230102
167,HARYANA,FARIDABAD,230102
637,HARYANA,FARIDABAD,230102
165,HARYANA,FARIDABAD,230102
176,HARYANA,FARIDABAD,230102
123,HARYANA,FARIDABAD,230102
538,HARYANA,FARIDABAD,230102
330,HARYANA,FARIDABAD,230102
208,HARYANA,FARIDABAD,230102
400,HARYANA,FARIDABAD,230102
58,HARYANA,FARIDABAD,230102
193,HARYANA,FARIDABAD,230102
652,HARYANA,FARIDABAD,230102
155,HARYANA,FARIDABAD,230102
272,HARYANA,FARIDABAD,230102
477,HARYANA,FARIDABAD,230102
519,HARYANA,FARIDABAD,230102
116,HARYANA,FARIDABAD,230102
136,HARYANA,FARIDABAD,230102
120,HARYANA,FARIDABAD,230102
241,HARYANA,FARIDABAD,230102
400,HARYANA,FARIDABAD,230102
130,HARYANA,FARIDABAD,230102
170,HARYANA,FARIDABAD,230102
517,HARYANA,FARIDABAD,230102
246,HARYANA,FARIDABAD,230102
32,HARYANA,FARIDABAD,230102
142,HARYANA,FARIDABAD,230102
185,HARYANA,FARIDABAD,230102
6,HARYANA,FARIDABAD,230102
252,HARYANA,FARIDABAD,230102
217,HARYANA,FARIDABAD,230102
310,HARYANA,FARIDABAD,230102
244,HARYANA,FARIDABAD,230102
326,HARYANA,FARIDABAD,230102
238,HARYANA,FARIDABAD,230102
276,HARYANA,FARIDABAD,230102
51,HARYANA,FARIDABAD,230102
519,HARYANA,FARIDABAD,230102
71,HARYANA,FARIDABAD,230102
285,HARYANA,FARIDABAD,230102
105,HARYANA,FARIDABAD,230102
426,HARYANA,FARIDABAD,230102
370,HARYANA,FARIDABAD,230102
362,HARYANA,FARIDABAD,230102
219,HARYANA,FARIDABAD,230102
58,HARYANA,FARIDABAD,230102
399,HARYANA,FARIDABAD,230102
383,HARYANA,FARIDABAD,230102
147,HARYANA,FARIDABAD,230102
165,HARYANA,FARIDABAD,230102
217,HARYANA,FARIDABAD,230102
88,HARYANA,FARIDABAD,230102
261,HARYANA,FARIDABAD,230102
74,HARYANA,FARIDABAD,230102
163,HARYANA,FARIDABAD,230102
266,HARYANA,FARIDABAD,230102
154,HARYANA,FARIDABAD,230102
71,HARYANA,FARIDABAD,230102
367,HARYANA,FARIDABAD,230102
558,HARYANA,FARIDABAD,230102
141,HARYANA,FARIDABAD,230102
295,HARYANA,FARIDABAD,230102
668,HARYANA,FARIDABAD,230102
121,HARYANA,FARIDABAD,230102
269,HARYANA,FARIDABAD,230102
126,HARYANA,FARIDABAD,230102
39,HARYANA,FARIDABAD,230102
132,HARYANA,FARIDABAD,230102
104,HARYANA,FARIDABAD,230102
405,HARYANA,FARIDABAD,230102
65,HARYANA,FARIDABAD,230102
144,HARYANA,FARIDABAD,230102
194,HARYANA,FARIDABAD,230102
160,HARYANA,FARIDABAD,230102
624,HARYANA,FARIDABAD,230102
104,HARYANA,FARIDABAD,230102
398,HARYANA,FARIDABAD,230102
135,HARYANA,FARIDABAD,230102
15,HARYANA,FARIDABAD,230102
370,HARYANA,FARIDABAD,230102
177,HARYANA,FARIDABAD,230102
155,HARYANA,FARIDABAD,230102
130,HARYANA,FARIDABAD,230102
226,HARYANA,FARIDABAD,230102
40,HARYANA,FARIDABAD,230102
135,HARYANA,FARIDABAD,230102
701,HARYANA,FARIDABAD,230102
251,HARYANA,FARIDABAD,230102
214,HARYANA,FARIDABAD,230102
303,HARYANA,FARIDABAD,230102
